method,origin,train_end,target_index,status,error_message,fit_seconds,predict_seconds,mse_t,mae_t,sarma_branch_actual,sarma_initial_lmbd,sarma_initial_eta,sarma_profile_loss,sarma_profile_candidate_index,sarma_profile_candidate_count,sarma_final_lmbd,sarma_final_eta,sarma_loss,sarma_iter_no,sarma_converged,sarma_theta_diff,sarma_loss_diff
SARMA_MLE,20,757,20,ok,,0.4685197500512004,0.000262417015619576,0.7011265434297848,0.6662558187670354,LS,[0.85],[],3.2588328901555266,12.0,12.0,[0.8089161334240933],[],4.9183245459028075,21.0,True,2.098090029378774e-06,3.3051846999855875e-11
SARMA_LS,21,758,21,ok,,0.5293572919908911,0.00031212501926347613,0.7388383777137442,0.6304930473262839,MLE,[0.85],[],3.2492269261392233,12.0,12.0,[0.8383792573939455],[],3.2488878504594663,19.0,True,3.9905186344224575e-07,2.8246898998184477e-12
SARMA_MLE,21,758,21,ok,,0.5293572919908911,0.00027370796306058764,0.7201290603237203,0.621064106587754,LS,[0.85],[],3.2492269261392233,12.0,12.0,[0.8127578940597875],[],4.908511997952396,21.0,True,1.5109429618576087e-06,1.8844857848992737e-11
SARMA_LS,22,759,22,ok,,0.4766624999465421,0.00030379201052710414,2.638903084624751,0.988136380754081,MLE,[0.85],[],3.2503811165784144,12.0,12.0,[0.8386226944698196],[],3.2500391870025997,18.0,True,1.7603699209445267e-07,2.3693574404383513e-13
SARMA_MLE,22,759,22,ok,,0.4766624999465421,0.0002678749733604491,2.6653745479525193,0.9884662103056673,LS,[0.85],[],3.2503811165784144,12.0,12.0,[0.8131580631745422],[],4.90945592263544,21.0,True,1.9720065492778716e-06,3.239948444105197e-11
SARMA_LS,23,760,23,ok,,0.45440595800755545,0.0002894169883802533,0.8910863772064328,0.8540092105907847,MLE,[0.85],[],3.2649598544184752,12.0,12.0,[0.8411541731132379],[],3.2647560915028193,18.0,True,6.454352553530995e-07,7.770439086728542e-12
SARMA_MLE,23,760,23,ok,,0.45440595800755545,0.00026729103410616517,0.8808986621493992,0.8492896068058156,LS,[0.85],[],3.2649598544184752,12.0,12.0,[0.8148250171929612],[],4.920344621005045,21.0,True,1.5621186885139693e-06,2.0863325765195022e-11
SARMA_LS,24,761,24,ok,,0.4920033750240691,0.00030462502036243677,0.11004879224046003,0.28366539116643225,MLE,[0.85],[],3.2637466516079243,12.0,12.0,[0.8398592536770032],[],3.2634874496889172,19.0,True,3.328606045238658e-07,2.028651868237003e-12
SARMA_MLE,24,761,24,ok,,0.4920033750240691,0.00026062503457069397,0.11462853697557057,0.2824092783003203,LS,[0.85],[],3.2637466516079243,12.0,12.0,[0.8134632172357243],[],4.921504283051625,21.0,True,8.861704627882716e-07,6.5580576951567245e-12
SARMA_LS,25,762,25,ok,,0.4612234589876607,0.0003286669962108135,0.23068440578673377,0.3498879165582817,MLE,[0.85],[],3.2503813443901644,12.0,12.0,[0.8408011074322147],[],3.2501732921784345,19.0,True,4.705902612034407e-08,2.7149475094161836e-13
SARMA_MLE,25,762,25,ok,,0.4612234589876607,0.00027175003197044134,0.234484232417471,0.3390651914266642,LS,[0.85],[],3.2503813443901644,12.0,12.0,[0.8133948294867696],[],4.917817789430753,21.0,True,8.105273311409533e-07,5.416137472467934e-12
SARMA_LS,26,763,26,ok,,0.4572545000119135,0.00029854103922843933,0.681943146134449,0.6376425428415828,MLE,[0.85],[],3.2437275951281896,12.0,12.0,[0.8396005274776209],[],3.243460130256556,19.0,True,3.8564054449796714e-07,2.6729192077550798e-12
SARMA_MLE,26,763,26,ok,,0.4572545000119135,0.0002633330295793712,0.6874227006931445,0.650693568089554,LS,[0.85],[],3.2437275951281896,12.0,12.0,[0.8116799680019243],[],4.913955552432879,21.0,True,4.313710988412822e-08,1.7116654461249706e-13
SARMA_LS,27,764,27,ok,,0.4336657500243746,0.0003031669766642153,0.7171142256491249,0.6954891281098295,MLE,[0.85],[],3.247664687887081,12.0,12.0,[0.8413065432006047],[],3.24748365201565,18.0,True,2.611814203801188e-07,2.1455866460280993e-13
SARMA_MLE,27,764,27,ok,,0.4336657500243746,0.00025887496303766966,0.6962415645978474,0.6818879847320503,LS,[0.85],[],3.247664687887081,12.0,12.0,[0.8118851615790093],[],4.918130880359405,21.0,True,0.0,0.0
SARMA_LS,28,765,28,ok,,0.4354438749724068,0.0003054580301977694,1.63546921363566,1.1843669281547584,MLE,[0.85],[],3.2487888623567804,12.0,12.0,[0.8400279944670329],[],3.2485512360511053,19.0,True,4.257734997903384e-08,2.5262849422434153e-13
SARMA_MLE,28,765,28,ok,,0.4354438749724068,0.00026475003687664866,1.6042868875376686,1.1835382154966627,LS,[0.85],[],3.2487888623567804,12.0,12.0,[0.8111180333244796],[],4.91950690851983,21.0,True,1.3318256886218904e-07,1.7151502028357255e-13
SARMA_LS,29,766,29,ok,,0.5899729580269195,0.0003000420401804149,0.47981198053376256,0.5941067338114344,MLE,[0.85],[],3.254711137765114,12.0,12.0,[0.8328716819583397],[],3.2539948265496017,20.0,True,1.0147654524450544e-06,4.722172851168906e-12
SARMA_MLE,29,766,29,ok,,0.5899729580269195,0.00026354199508205056,0.46680614156862754,0.5953782555432067,LS,[0.85],[],3.254711137765114,12.0,12.0,[0.8052995847148119],[],4.929820180679533,21.0,True,1.2216597063963164e-06,1.0602316336909037e-11
SARMA_LS,30,767,30,ok,,0.5354267089860514,0.000299000006634742,0.4359051160558199,0.5178081445518429,MLE,[0.85],[],3.251207936519883,12.0,12.0,[0.8361561103296935],[],3.2507555072507244,20.0,True,1.0709905791106422e-06,5.404742363820474e-12
SARMA_MLE,30,767,30,ok,,0.5354267089860514,0.0002616660203784704,0.39654635651953135,0.4857529208500919,LS,[0.85],[],3.251207936519883,12.0,12.0,[0.8073897125468524],[],4.927080627332414,21.0,True,0.0,0.0
SARMA_LS,31,768,31,ok,,0.4939884170307778,0.00030112499371171,0.3979475293876373,0.606643296750253,MLE,[0.85],[],3.247518933490377,12.0,12.0,[0.8328611563301731],[],3.246835449665224,20.0,True,6.353438497530561e-08,2.620627614797873e-13
SARMA_MLE,31,768,31,ok,,0.4939884170307778,0.00026333396090194583,0.3815079070274825,0.5962271299886767,LS,[0.85],[],3.247518933490377,12.0,12.0,[0.8043080714093214],[],4.923772396717915,22.0,True,2.251714312451192e-06,3.5833262925518884e-11
SARMA_LS,32,769,32,ok,,0.46451324998633936,0.00031708297319710255,0.3265374918422343,0.4671918561114751,MLE,[0.85],[],3.2476207898890617,12.0,12.0,[0.833375143131417],[],3.2469739167883516,20.0,True,0.0,0.0
SARMA_MLE,32,769,32,ok,,0.46451324998633936,0.0002762090298347175,0.3082323719918218,0.46935715160564356,LS,[0.85],[],3.2476207898890617,12.0,12.0,[0.8038624332811999],[],4.922918975779626,22.0,True,2.232286826830965e-06,3.512899274101013e-11
SARMA_LS,33,770,33,ok,,0.5448925839737058,0.00030920800054445863,0.0569735754264577,0.2203484138995732,MLE,[0.85],[],3.248051151537019,12.0,12.0,[0.8321137921340391],[],3.2473065722330867,20.0,True,6.934154783699853e-08,2.664009372517784e-13
SARMA_MLE,33,770,33,ok,,0.5448925839737058,0.00026187498588114977,0.05457033904698224,0.20159321954880652,LS,[0.85],[],3.248051151537019,12.0,12.0,[0.8028178226048058],[],4.9233347949460695,22.0,True,2.065640415715997e-06,2.9804895611344406e-11
SARMA_LS,34,771,34,ok,,0.4630993339815177,0.0003384589799679816,0.3345773923020446,0.5586276384998619,MLE,[0.85],[],3.2440292338405112,12.0,12.0,[0.8327001895596368],[],3.2433194785706134,20.0,True,4.522805961970633e-07,3.2964512134233852e-12
SARMA_MLE,34,771,34,ok,,0.4630993339815177,0.0002680419711396098,0.298972542421925,0.5292522551368085,LS,[0.85],[],3.2440292338405112,12.0,12.0,[0.8036190113741215],[],4.92174878967939,21.0,True,4.635235506533775e-08,1.7396333279399522e-13
